businessId,count
0,33
1,49
2,160
3,15
4,60
5,43
6,104
7,70
8,23
9,4
10,18
11,49
12,12
13,122
14,535
15,376
16,60
17,138
18,185
19,150
20,63
21,534
22,63
23,13
24,115
25,5
26,35
27,112
28,33
29,8
30,71
31,61
32,48
33,72
34,3
35,49
36,220
37,237
38,73
39,83
40,59
41,4
42,492
43,238
44,34
45,40
46,32
47,24
48,364
49,10
50,18
51,156
52,4
53,182
54,260
55,138
56,3
57,276
58,93
59,3
60,23
61,52
62,62
63,763
64,152
65,215
66,239
67,316
68,623
69,25
70,38
71,27
72,52
73,23
74,15
75,229
76,130
77,5
78,452
79,261
80,35
81,101
82,72
83,28
84,201
85,10
86,253
87,79
88,609
89,8
90,7
91,21
92,160
93,7
94,228
95,39
96,29
97,123
98,3
99,247
100,4
101,331
102,220
103,201
104,185
105,65
106,34
107,35
108,249
109,26
110,591
111,88
112,4
113,20
114,9
115,22
116,4
117,8
118,4
119,226
120,245
121,9
122,11
123,8
124,7
125,5
126,61
127,118
128,6
129,4
130,18
131,231
132,76
133,54
134,287
135,9
136,9
137,30
138,34
139,83
140,62
141,14
142,137
143,4
144,159
145,180
146,62
147,137
148,3
149,227
150,25
151,28
152,169
153,190
154,3
155,128
156,336
157,29
158,1065
159,160
160,6
161,453
162,166
163,54
164,7
165,337
166,190
167,62
168,322
169,215
170,14
171,183
172,12
173,45
174,4
175,76
176,122
177,253
178,338
179,7
180,6
181,96
182,113
183,5
184,125
185,120
186,775
187,48
188,173
189,102
190,177
191,509
192,213
193,405
194,9
195,53
196,202
197,11
198,332
199,48
200,307
201,271
202,128
203,4
204,100
205,14
206,116
207,29
208,216
209,213
210,146
211,102
212,234
213,328
214,156
215,8
216,255
217,72
218,83
219,3
220,139
221,3
222,5
223,3
224,161
225,152
226,21
227,34
228,907
229,13
230,6
231,195
232,38
233,31
234,140
235,154
236,7
237,3
238,91
239,371
240,293
241,57
242,8
243,57
244,77
245,101
246,12
247,252
248,176
249,65
250,123
251,81
252,81
253,8
254,60
255,10
256,601
257,103
258,141
259,76
260,14
261,23
262,108
263,9
264,3
265,7
266,84
267,6
268,67
269,43
270,47
271,76
272,22
273,69
274,9
275,220
276,517
277,59
278,42
279,76
280,81
281,53
282,10
283,156
284,362
285,32
286,3
287,41
288,187
289,140
290,175
291,571
292,163
293,81
294,34
295,3
296,607
297,175
298,220
299,240
300,38
301,146
302,64
303,14
304,15
305,25
306,19
307,36
308,100
309,264
310,32
311,43
312,37
313,7
314,82
315,4
316,80
317,65
318,62
319,370
320,9
321,26
322,327
323,67
324,2
325,104
326,14
327,31
328,6
329,143
330,40
331,3
332,29
333,464
334,21
335,40
336,96
337,114
338,5
339,52
340,45
341,3
342,63
343,6
344,95
345,32
346,9
347,56
348,6
349,56
350,20
351,104
352,280
353,357
354,3
355,32
356,30
357,179
358,5
359,193
360,8
361,42
362,6
363,63
364,76
365,127
366,317
367,42
368,11
369,5
370,180
371,9
372,28
373,218
374,74
375,3
376,25
377,167
378,75
379,4
380,42
381,126
382,457
383,178
384,63
385,264
386,63
387,119
388,14
389,50
390,217
391,30
392,129
393,620
394,108
395,108
396,22
397,68
398,699
399,22
400,236
401,5
402,117
403,41
404,6
405,245
406,147
407,103
408,53
409,33
410,86
411,11
412,141
413,245
414,20
415,66
416,154
417,31
418,187
419,82
420,66
421,412
422,36
423,17
424,27
425,158
426,70
427,26
428,118
429,11
430,9
431,13
432,67
433,177
434,383
435,157
436,4
437,102
438,39
439,125
440,129
441,35
442,25
443,113
444,218
445,91
446,142
447,5
448,40
449,657
450,98
451,9
452,145
453,33
454,168
455,4
456,70
457,184
458,123
459,129
460,161
461,73
462,27
463,13
464,13
465,515
466,79
467,343
468,8
469,16
470,44
471,6
472,36
473,24
474,107
475,134
476,129
477,22
478,90
479,2
480,8
481,41
482,4
483,5
484,191
485,40
486,8
487,12
488,196
489,49
490,4
491,107
492,59
493,107
494,51
495,57
496,16
497,345
498,197
499,99
500,18
501,181
502,197
503,7
504,9
505,43
506,24
507,44
508,106
509,37
510,89
511,11
512,57
513,55
514,5
515,93
516,72
517,212
518,38
519,72
520,96
521,17
522,898
523,84
524,15
525,243
526,279
527,122
528,45
529,120
530,88
531,108
532,11
533,19
534,29
535,6
536,90
537,8
538,8
539,471
540,16
541,142
542,93
543,67
544,24
545,55
546,89
547,16
548,52
549,92
550,93
551,48
552,115
553,652
554,221
555,348
556,84
557,9
558,103
559,73
560,49
561,4
562,4
563,17
564,7
565,89
566,34
567,243
568,5
569,7
570,56
571,60
572,4
573,4
574,5
575,121
576,46
577,264
578,3
579,4
580,88
581,17
582,52
583,27
584,23
585,134
586,12
587,38
588,59
589,6
590,122
591,23
592,23
593,19
594,20
595,17
596,71
597,53
598,170
599,66
600,16
601,72
602,73
603,241
604,171
605,38
606,22
607,35
608,22
609,189
610,45
611,252
612,29
613,129
614,31
615,144
616,98
617,13
618,166
619,145
620,54
621,157
622,7
623,124
624,42
625,37
626,9
627,16
628,115
629,106
630,7
631,17
632,169
633,3
634,100
635,67
636,100
637,77
638,32
639,113
640,161
641,66
642,50
643,189
644,95
645,76
646,19
647,97
648,164
649,15
650,369
651,115
652,94
653,174
654,22
655,28
656,218
657,380
658,108
659,3
660,98
661,8
662,129
663,13
664,91
665,103
666,8
667,15
668,90
669,17
670,125
671,35
672,18
673,185
674,107
675,25
676,237
677,6
678,14
679,43
680,32
681,203
682,184
683,10
684,263
685,5
686,40
687,91
688,7
689,67
690,16
691,10
692,2
693,42
694,7
695,189
696,42
697,132
698,54
699,17
700,7
701,6
702,85
703,79
704,8
705,49
706,161
707,150
708,38
709,375
710,258
711,4
712,86
713,5
714,698
715,33
716,22
717,128
718,17
719,37
720,4
721,86
722,39
723,7
724,48
725,116
726,151
727,109
728,23
729,72
730,35
731,138
732,53
733,4
734,97
735,5
736,123
737,110
738,36
739,366
740,41
741,395
742,5
743,64
744,191
745,283
746,52
747,17
748,10
749,218
750,123
751,39
752,43
753,331
754,48
755,4
756,105
757,7
758,12
759,32
760,53
761,29
762,9
763,13
764,424
765,127
766,72
767,15
768,33
769,24
770,4
771,255
772,73
773,190
774,72
775,114
776,4
777,193
778,183
779,8
780,130
781,11
782,44
783,5
784,122
785,49
786,21
787,3
788,69
789,28
790,143
791,8
792,107
793,259
794,101
795,6
796,106
797,3
798,69
799,12
800,38
801,30
802,45
803,36
804,8
805,130
806,13
807,318
808,197
809,16
810,19
811,43
812,576
813,106
814,27
815,16
816,8
817,55
818,157
819,21
820,235
821,8
822,52
823,22
824,50
825,22
826,6
827,3
828,41
829,15
830,153
831,47
832,267
833,219
834,21
835,128
836,78
837,11
838,8
839,22
840,8
841,136
842,309
843,66
844,51
845,105
846,57
847,220
848,4
849,28
850,69
851,13
852,124
853,28
854,152
855,6
856,314
857,15
858,17
859,71
860,172
861,4
862,86
863,5
864,310
865,71
866,30
867,280
868,83
869,109
870,171
871,17
872,9
873,83
874,85
875,67
876,5
877,91
878,80
879,29
880,12
881,5
882,74
883,3
884,85
885,182
886,3
887,5
888,14
889,33
890,21
891,105
892,136
893,339
894,17
895,72
896,43
897,54
898,13
899,10
900,5
901,3
902,38
903,170
904,11
905,53
906,93
907,85
908,21
909,62
910,10
911,55
912,237
913,125
914,186
915,115
916,3
917,5
918,68
919,76
920,60
921,187
922,7
923,49
924,61
925,310
926,218
927,23
928,2
929,41
930,148
931,13
932,112
933,3
934,117
935,102
936,20
937,24
938,4
939,2
940,36
941,6
942,102
943,192
944,18
945,18
946,10
947,100
948,50
949,401
950,173
951,105
952,13
953,70
954,154
955,161
956,186
957,18
958,105
959,28
960,50
961,208
962,281
963,65
964,79
965,79
966,69
967,77
968,57
969,81
970,29
971,28
972,3
973,80
974,46
975,130
976,52
977,87
978,28
979,273
980,18
981,7
982,29
983,3
984,141
985,26
986,265
987,45
988,67
989,12
990,136
991,269
992,8
993,262
994,59
995,56
996,3
997,39
998,118
999,25
1000,328
1001,40
1002,24
1003,115
1004,194
1005,127
1006,72
1007,63
1008,37
1009,122
1010,18
1011,176
1012,136
1013,15
1014,135
1015,17
1016,63
1017,48
1018,9
1019,23
1020,202
1021,8
1022,141
1023,3
1024,247
1025,6
1026,20
1027,27
1028,76
1029,54
1030,113
1031,53
1032,277
1033,15
1034,213
1035,16
1036,23
1037,94
1038,2
1039,5
1040,831
1041,40
1042,3
1043,75
1044,3
1045,5
1046,16
1047,45
1048,5
1049,201
1050,53
1051,25
1052,10
1053,264
1054,76
1055,92
1056,4
1057,15
1058,82
1059,23
1060,7
1061,26
1062,26
1063,106
1064,6
1065,5
1066,3
1067,62
1068,30
1069,41
1070,69
1071,286
1072,6
1073,87
1074,4
1075,146
1076,223
1077,94
1078,85
1079,110
1080,47
1081,51
1082,7
1083,29
1084,25
1085,11
1086,140
1087,136
1088,210
1089,149
1090,52
1091,55
1092,6
1093,33
1094,83
1095,5
1096,107
1097,16
1098,277
1099,5
1100,15
1101,35
1102,22
1103,99
1104,5
1105,34
1106,49
1107,3
1108,2
1109,173
1110,51
1111,13
1112,87
1113,43
1114,72
1115,237
1116,8
1117,79
1118,9
1119,138
1120,32
1121,3
1122,4
1123,117
1124,105
1125,10
1126,69
1127,28
1128,57
1129,97
1130,45
1131,33
1132,26
1133,39
1134,4
1135,387
1136,187
1137,177
1138,16
1139,114
1140,83
1141,21
1142,12
1143,3
1144,50
1145,32
1146,106
1147,34
1148,34
1149,12
1150,17
1151,99
1152,10
1153,4
1154,7
1155,29
1156,3
1157,37
1158,66
1159,61
1160,185
1161,40
1162,249
1163,80
1164,4
1165,4
1166,109
1167,32
1168,121
1169,15
1170,16
1171,25
1172,77
1173,44
1174,55
1175,27
1176,6
1177,14
1178,427
1179,249
1180,11
1181,128
1182,107
1183,7
1184,24
1185,15
1186,111
1187,3
1188,50
1189,98
1190,53
1191,116
1192,22
1193,26
1194,59
1195,59
1196,96
1197,69
1198,221
1199,76
1200,125
1201,107
1202,16
1203,96
1204,8
1205,68
1206,60
1207,58
1208,4
1209,9
1210,120
1211,7
1212,68
1213,53
1214,7
1215,151
1216,7
1217,98
1218,57
1219,12
1220,28
1221,269
1222,264
1223,55
1224,103
1225,17
1226,44
1227,139
1228,123
1229,59
1230,10
1231,12
1232,16
1233,13
1234,125
1235,63
1236,64
1237,52
1238,9
1239,107
1240,53
1241,69
1242,36
1243,137
1244,4
1245,28
1246,80
1247,10
1248,21
1249,147
1250,335
1251,4
1252,141
1253,3
1254,72
1255,58
1256,6
1257,164
1258,4
1259,16
1260,7
1261,40
1262,19
1263,190
1264,3
1265,6
1266,63
1267,34
1268,97
1269,107
1270,47
1271,149
1272,29
1273,5
1274,73
1275,7
1276,14
1277,3
1278,21
1279,213
1280,19
1281,4
1282,3
1283,63
1284,78
1285,85
1286,31
1287,107
1288,16
1289,94
1290,59
1291,143
1292,153
1293,52
1294,4
1295,85
1296,37
1297,30
1298,49
1299,56
1300,171
1301,92
1302,41
1303,68
1304,10
1305,7
1306,35
1307,7
1308,14
1309,5
1310,287
1311,135
1312,52
1313,217
1314,19
1315,4
1316,13
1317,26
1318,83
1319,7
1320,6
1321,109
1322,53
1323,3
1324,17
1325,3
1326,8
1327,133
1328,136
1329,6
1330,59
1331,91
1332,27
1333,126
1334,34
1335,26
1336,21
1337,179
1338,24
1339,44
1340,22
1341,46
1342,4
1343,298
1344,12
1345,83
1346,81
1347,9
1348,25
1349,42
1350,39
1351,122
1352,112
1353,100
1354,75
1355,6
1356,17
1357,34
1358,8
1359,23
1360,150
1361,10
1362,69
1363,11
1364,19
1365,8
1366,35
1367,243
1368,33
1369,6
1370,119
1371,6
1372,75
1373,34
1374,57
1375,73
1376,281
1377,66
1378,75
1379,14
1380,3
1381,92
1382,94
1383,2
1384,33
1385,16
1386,45
1387,64
1388,47
1389,489
1390,5
1391,49
1392,3
1393,13
1394,155
1395,27
1396,132
1397,14
1398,9
1399,131
1400,13
1401,5
1402,21
1403,33
1404,3
1405,8
1406,78
1407,27
1408,99
1409,21
1410,150
1411,39
1412,15
1413,99
1414,119
1415,106
1416,10
1417,16
1418,6
1419,117
1420,77
1421,59
1422,71
1423,14
1424,183
1425,3
1426,3
1427,5
1428,96
1429,253
1430,46
1431,3
1432,143
1433,35
1434,51
1435,9
1436,37
1437,205
1438,12
1439,5
1440,8
1441,26
1442,10
1443,8
1444,4
1445,157
1446,8
1447,78
1448,135
1449,13
1450,20
1451,3
1452,124
1453,118
1454,68
1455,6
1456,31
1457,67
1458,30
1459,42
1460,4
1461,36
1462,8
1463,39
1464,3
1465,54
1466,50
1467,5
1468,6
1469,223
1470,4
1471,7
1472,29
1473,73
1474,543
1475,56
1476,226
1477,23
1478,117
1479,97
1480,47
1481,309
1482,153
1483,106
1484,13
1485,5
1486,50
1487,2
1488,50
1489,116
1490,207
1491,156
1492,32
1493,75
1494,47
