userId --- businessId --- role
z5g5Lclwt13_BO0BStohMA --- 2ceeU8e3nZjaPfGmLwh4kg --- training
qABKRj1ggJmtvrL9FMFtuA --- SDwYQ6eSu1htn8vHWv128g --- training
M6oU3OBf_E6gqlfkLGlStQ --- e9nN4XxjdHj4qtKCOPq_vg --- training
tXhlRAnR3_GoWvewfQni4Q --- I4bSn5gXsHuSPu7L-d_8nQ --- training
x0r-IamYgKMgF3v7tJ_PTg --- EC9WB-iVjd28B6R6KIZ8TA --- training
rL3dPeKDTybG_ct9OCXGAA --- QnAzW6KMSciUcuJ20oI3Bw --- training
Q5dlLCEni_my05az9wIptg --- Bjt3rB73dvSDe1XEPEWc6w --- training
Pv7DGHzZ-uqIUdOsqPpsVg --- 1vl4-5il_LGtDRxUCy9ldw --- training
t2YBANsJYySOXvHyOjcZkQ --- WNy1uzcmm_UHmTyR--o5IA --- training
gO71ikoIl4SzgQZtrkNFxg --- tdeHd2AVYlEnz9F1UGb84Q --- training
lczLjHO7zIhrmSlOXI3ohg --- oyzxIqrtzu-8sWlPhJVsLw --- training
4ozupHULqGyO42s3zNUzOQ --- bgTB6MgdVQssXhkNJ7qIfw --- training
xg4AdOGHFxJyWByFbG8stA --- 8ZwO9VuLDWJOXmtAdc7LXQ --- training
kos4MkM2h0UAdupVDuTziQ --- luCSjoNQ9q_0QIjKKOy2pQ --- training
NWEKM2JBpPCtvGtIsRAgMw --- K845ZDttFfx99zQ-0aE2tA --- training
1diI7PX0AxbbtiUB7nPbuQ --- hW0Ne_HTHEAgGF1rAdmR-g --- training
P_LzcrlVXFdgBq_24UnlUw --- 24qSrF_XOrvaHDBy-gLIQg --- training
9qCPmT6ovJjxL4tJB4ANCg --- FV0BkoGOd3Yu_eJnXY15ZA --- training
5E193w76Qlhoi1gkyakW2A --- DlCtdbceo4YNSI53cCL2lg --- training
5kJYTUtFUJT24dWNs6eW8w --- nlFlIeziD-4nNUF2B337Yw --- training
XqMkm-DD9VsdcKx2YVGhSA --- Nq7eB1wB2EArUICtiNePvQ --- training
XqMkm-DD9VsdcKx2YVGhSA --- S8O3BoCDEK-te8U-0IvZog --- training
usQTOj7LQ9v0Fl98gRa3Iw --- fP-BPL6iRu2tbcvlnjRshw --- training
588oY8EejEFCr-ym_2TR0Q --- Vn8qcaX64fkl8vByCsSvIg --- training
3gIfcQq5KxAegwCPXc83cQ --- AhpzPZH3b0PGT9mVoLCQDg --- training
HjhR3u17OjxD4s8t3toTfg --- pQ3kRVmttsV1bHxuTf7TAg --- training
7o7MF9B9lxcWupE8jiLOaQ --- KBKDl08flVw1AqvM5ucVpA --- training
P2kVk4cIWyK4e4h14RhK-Q --- sgBl3UDEcNYKwuUb92CYdA --- training
ZKs7NR45Fi27wcIoAilEMQ --- jVgtPnzXvZQOCCIUPEBktA --- training
gcyEUr4DXcbjnGRAWFtfAQ --- 9BJ5h9X1krpXFjKj0a6wbg --- training
VPXgY9lGJF3XC4ZpusxNuA --- yVQiGdxmnrkJDyQXv2maNA --- training
7W4egS-WyR0hRHMfQtPEOQ --- 7tTK3VPlFtBGBHm8-LZIUg --- training
7brf9WC0Gr_7bUBXEHs9FA --- XU5Fb3TosXDUJcNRWQM5cA --- training
giwch_jkHmILclbawH3FSg --- AaKlegu7gmOCD4rEESF76Q --- training
vsXP832M0kOxKpfduD7dWw --- 7tTK3VPlFtBGBHm8-LZIUg --- training
BiDA7uVJ5igMCsp4ZfpCpQ --- YJoph5UiUZ3BEb49vyFAuQ --- training
Iycf9KNRhxvR187Qu2zZHg --- EWMwV5V9BxNs_U6nNVMeqw --- training
0tYlK-FieQXAdmTQ9DWTbA --- mhLN_oiJd7zq6eaOS1Nw1A --- training
3uU_6L8GnFOHTsO4I3oedg --- zMa6YoEekpABg1HZnnTZdg --- training
ZC49A1K-if7KP8VJXoqELQ --- MwmXm48K2g2oTRe7XmssFw --- training
Ovpa3S8xD96dLE5eDxcxJg --- -AAig9FG0s8gYE4f8GfowQ --- training
-abQU9iEfPDWStG1coC4_Q --- He9Dar4bk2vyeiPC7TkUgA --- training
weYT-xJwz8o7mLNWIhD6HA --- _CG5zJAoNN6gszjhSyUcww --- training
vUBWg3dXVCDWvbGwWLrpbw --- bOB11LVavtN9PWTNwR52Tw --- training
hcctCQy3bdZMezrUKkZLtA --- -3WVw1TNQbPBzaKCaQQ1AQ --- training
0Ke0iSAPYi8hUVxLocAlYQ --- -EctXOb3B7T177jGYUhjVA --- training
L9-X4KASFfdhOeVeYSDgvA --- SMpL3z4FLF07bRA6-y22JQ --- training
f7Hv9J9GTTXd3XsfRgt3Pw --- L9N4loWpY2bmQumLUv8r3A --- training
APLIPfq1Rf8QyhHHk2uAyA --- 41j3GB7M-Lwq284Pfb9zgw --- training
W9n_ZyVCXD0HfPqn6qriOw --- dcd3C1gWv-vVdQ9XYV8Ubw --- training
LaEj3VpQh7bgpAZLzSRRrw --- s1dex3Z3QoqiK7V-zXUgAw --- training
zuoeE7GdXXlCgr995ImWfQ --- cdwHgELA2puX2DNfwSt5EA --- training
ST8Yzlk2MqKlcaLqL2djBg --- iNT6pcUugoXsDlZgRTyhtw --- training
4lkTIhTuMhLprQprGlTRlA --- h6jfMpTZpNduLG0wE2tbaw --- training
3FRzcb41y7LYr5yRMQSoqw --- K845ZDttFfx99zQ-0aE2tA --- training
gv6GLZ3-bgSs44PtPJR1Bg --- bc-lE-wGVAsUrX-kJhtY-Q --- training
8n4SarsuI9Km6lEtydiE0w --- c1yGkETheht_1vjda7G5sA --- training
4dnDsoHuxUtzhaumxbpR5w --- N_6bV3c3JagKW7sD3X9ldA --- training
Kqvfep2mxS10S50FbVDi4Q --- 1XXGV_HvIHLC2C1mJUFv0Q --- training
ca2Sa9Enqg2GlWFQ95p8bw --- 2nzUx_M8Szyzsf4CszHasw --- training
u1fxUYcCZsiazNmczJh0hQ --- x5LrBYPOFlarnDvUTouL7Q --- training
2LCrT_BOJvGV4xi_lmoRcA --- 5ambRqdTJt9vGwFzVI9HBw --- training
T7J9ae0wTskrI_Bgwp-4cA --- UIGFrEcoDsw05I1UOrxdOA --- training
y9IKf7VckFc-fesWuDwgxg --- TuuENwzxOFdDLY_oKCbFZw --- training
7brf9WC0Gr_7bUBXEHs9FA --- L2J3JfjXZLnX1rLhWKthqA --- training
nbofxFWHORebBHh10OgYLA --- apCfJVnRyaw6oVUBKujpUQ --- training
0bNXP9quoJEgyVZu9ipGgQ --- AqbgC7Gul5Es1rRzGNLDFA --- training
VPXgY9lGJF3XC4ZpusxNuA --- rr13jM6SUmfPPPGHHMHCgQ --- training
iPhoJlwisUKGGrA0QNmYMw --- hW0Ne_HTHEAgGF1rAdmR-g --- training
Iycf9KNRhxvR187Qu2zZHg --- DDnmNTvIIQu2t3WZ2EQx-w --- training
Iycf9KNRhxvR187Qu2zZHg --- WS1z1OAR0tRl4FsjdTGUFQ --- training
qQns9dP75RNOWOVWI_ZKZw --- 5KG0A3WlC7K3DAXtrIFFjg --- training
LXWAXIeYFIdgd2JVPF-9qA --- c1yGkETheht_1vjda7G5sA --- training
thdVzCfKx-DV0zYWqId3pw --- cp39VURFby4A6u9m2It8jg --- training
tCVQyYHcmOrx2i81C47Tew --- P5uC-zfGG6yqoQDUyqyAvg --- training
5kJYTUtFUJT24dWNs6eW8w --- IuAPYzf3NSyfyXYgT46YVA --- training
J3I2NClEbD1Xr8lOdjxlqQ --- _tkAI5Q5XQSfgbqJzDKSDQ --- training
wVSGZN8d3ao4ad97kEDzYg --- nmj5yK9dZ2atlM9RYDCRHw --- training
NWEKM2JBpPCtvGtIsRAgMw --- k6Si433-EJrY4J7SZxsnjA --- training
wLDWtFpyh0hr3wfpj_lxWg --- WUZxVr_CaRqEQgzvyeK5tw --- training
VPXgY9lGJF3XC4ZpusxNuA --- iNT6pcUugoXsDlZgRTyhtw --- training
wcOqMTV92kxOornA42KyoA --- EHIZFzQQ_mjzwyjcaToPtQ --- training
CtuoM6_Im-xBZMAqPKMQ8A --- -4A5xmN21zi_TXnUESauUQ --- training
b4C9E7vTJrOdkJQA86xYSg --- KTF-E3NfkJy2wiwcgOPyVQ --- training
lPaYMDmJbAnv_3pmZH_inw --- tqDwpyCB53TiEIv915Tuww --- training
PoQOIZc2q5nud7uVz_jdjw --- 8t80-omyflkywRfu9LPh6g --- training
pEVf8GRshP9HUkSpizc9LA --- ABrSt3fsirLrUYNVrD3fbQ --- training
KLekdmo4FdNnP0huUhzZNw --- fowXs9zAM0TQhSfSkPeVuw --- training
ZGfbxU-9wtRDTrfLRzfiMQ --- iNT6pcUugoXsDlZgRTyhtw --- training
_PzSNcfrCjeBxSLXRoMmgQ --- Vn8qcaX64fkl8vByCsSvIg --- training
jy1qPe0Tz3ewHacAtshmBw --- O-Xa9GCFWI65YiBD5Jw_hA --- training
tdNV2Wb0LrFpm1Yfov_Klw --- KleJUKZjGFFhybrcpZIyHQ --- training
17PPxx8RxjOUD_nQZ1aHEw --- DlCtdbceo4YNSI53cCL2lg --- training
KvWny9qUZJKrqo_LYesgSg --- SDwYQ6eSu1htn8vHWv128g --- training
iJUVamUkqL6VfEMfyQoujw --- dipzJ5BExpm6BtJ91mXd4Q --- training
